name,lat,lng,rating,types
Amago Sushi,48.8145818,2.2967925,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Olivier Chef Particulier,48.8172141,2.2978488,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Otoko yama,48.8177589,2.3028141,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
La Pizza,48.814154,2.2957893,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurant Le Metro,48.8142283,2.295553099999999,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
La Cava,48.81304069999999,2.3019324,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Franprix,48.8183052,2.2965565,3.5,"['supermarket', 'convenience_store', 'liquor_store', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Lys,48.81913350000001,2.2983125,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Royal Pizza Malakoff,48.8191542,2.3003965,3.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Okayama,48.819346,2.299963,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Piccola Calabria,48.8184994,2.3009159,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Jardin d'Asie,48.8124034,2.3009233,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Chistèra,48.8166667,2.3002778,4.4,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Le Croustillant,48.8150192,2.2978199,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Mr Boursier Alain,48.813805,2.300009,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Karel,48.8169947,2.3015688,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
A Bon Port,48.814559,2.2962806,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Sarl Raval 3000,48.81749540000001,2.297580200000001,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Rendez-Vous Café,48.8135685,2.2964358,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Intermarché EXPRESS Montrouge,48.81405900000001,2.303095,3.5,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Domino's Pizza Montrouge,48.8179898,2.3086774,3.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Otoko yama,48.8177589,2.3028141,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Lena,48.816359,2.3062998,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
L'Atelier,48.81746700000001,2.3073082,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
La Cava,48.81304069999999,2.3019324,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Franprix,48.81617000000001,2.309060000000001,3.3,"['supermarket', 'liquor_store', 'convenience_store', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Bomunsa,48.8160686,2.3100542,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
LE SPECIAL restaurant,48.8194636,2.3063696,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
AU PARIS BREST,48.8196201,2.3058925,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Eat Chicken,48.8155671,2.3106465,4.4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Pizza Hut,48.81782920000001,2.3085636,3.7,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Piccola Calabria,48.8184994,2.3009159,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Royal Pizza Malakoff,48.8191542,2.3003965,3.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Le Chistèra,48.8166667,2.3002778,4.4,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']"
Jardin d'Asie,48.8124034,2.3009233,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Le Balto - Brasserie Parisienne,48.8150948,2.3040245,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Dubble Malakoff / healthy food,48.81495590000001,2.3039253,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Tipaza,48.81610610000001,2.3051839,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Au Regal,48.81458680000001,2.303170600000001,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Domino's Pizza Montrouge,48.8179898,2.3086774,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
