name,lat,lng,rating,types
ebeneo,48.815642,2.2529952,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Libre Service Clamart,48.81129019999999,2.25852,4.4,"['grocery_or_supermarket', 'convenience_store', 'liquor_store', 'bakery', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Creative Design,48.8198289,2.2607051,5.0,"['general_contractor', 'store', 'point_of_interest', 'establishment']"
Nguyen Tran Pharmacy,48.814408,2.257843,4.6,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
PHARMACIE ISSY des EPINETTES,48.8178655,2.260274899999999,4.5,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Emi & lie Paris,48.8158433,2.258972,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Radio portugueses no mundo,48.81545999999999,2.259797299999999,,"['store', 'point_of_interest', 'establishment']"
Les Bobines de Dada,48.8162904,2.2587365,,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Eniz,48.8150883,2.2581903,4.6,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Bakery Les 3 Épis d'Or,48.81504899999999,2.258089,4.7,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
Leeloo Bijoux,48.8165635,2.258325,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Patino Rénovation,48.8143306,2.2578818,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
"Markar - Cuisine levantine, épicerie fine, vins d'Arménie",48.8156946,2.2563866,4.8,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Boulangerie Kharroubi Sahbi,48.8175518,2.2606113,3.3,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
.,48.81736540000001,2.2572003,3.9,"['store', 'point_of_interest', 'establishment']"
Photomaton,48.8176364,2.2604704,1.0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Aux Jardins D'Azad,48.8182002,2.2628718,4.8,"['florist', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Diasporamag Arménie Magazine,48.81695149999999,2.2596056,5.0,"['book_store', 'store', 'point_of_interest', 'establishment']"
Maxime Ollivier,48.81826820000001,2.267163,3.7,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
Franprix,48.8178207,2.2601714,3.4,"['supermarket', 'convenience_store', 'liquor_store', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
PHARMACIE ISSY des EPINETTES,48.8178655,2.260274899999999,4.5,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Librairie Le Livre et la Tortue,48.8175825,2.2678603,4.9,"['book_store', 'store', 'point_of_interest', 'establishment']"
Anne Sibadey,48.81659540000001,2.264035,5.0,"['school', 'store', 'point_of_interest', 'establishment']"
MaWenMax,48.81654450000001,2.2677022,,"['store', 'point_of_interest', 'establishment']"
flame dropship,48.8177526,2.2669546,,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Radio portugueses no mundo,48.81545999999999,2.259797299999999,,"['store', 'point_of_interest', 'establishment']"
Boulangerie Kharroubi Sahbi,48.8175518,2.2606113,3.3,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
La Fabrique d’Issy,48.8176717,2.2606525,4.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
Cap Axess (SAS),48.8186038,2.2627969,,"['general_contractor', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Photomaton,48.8176364,2.2604704,1.0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Pharmacie du Fort d'Issy,48.8180072,2.2673998,3.8,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Monop',48.8179196,2.2675854,3.4,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Race&Lock,48.81285369999999,2.2669539,5.0,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Erebouni Erevan Magasin Armenien Russe Georgien Pays De L'Est,48.81772799999999,2.260428,4.8,"['food', 'store', 'point_of_interest', 'establishment']"
Emi & lie Paris,48.8158433,2.258972,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Tabac CBD des Epinettes,48.8177967,2.2600779,4.3,"['store', 'point_of_interest', 'establishment']"
